"Latest: Time (s)","Latest: Sound Pressure 1","Latest: Offset Pressure 1","Latest: Sound Pressure 2","Latest: Offset Pressure 2"
0,2.43598937988,-0.0457176033195,2.54318237305,0.0646085481901
0.0001,2.39326477051,-0.0884422126945,2.58430480957,0.105730984714
0.0002,2.38410949707,-0.097597486132,2.58583068848,0.10725686362
0.0003,2.41920471191,-0.0625022712883,2.54165649414,0.0630826692838
0.0004,2.47261047363,-0.00909650956953,2.47909545898,0.000521634127591
0.0005,2.53517150879,0.0534645255867,2.41348266602,-0.0650911588412
0.0006,2.57484436035,0.0931373771492,2.36473083496,-0.113842989896
0.0007,2.57637023926,0.0946632560555,2.36930847168,-0.109265353177
0.0008,2.54585266113,0.0641456779305,2.4104309082,-0.0681429166537
0.0009,2.48481750488,0.00311052168047,2.4821472168,0.00357339194009
0.001,2.42988586426,-0.0518211189445,2.54776000977,0.0691861849088
0.0011,2.39479064941,-0.0869163337883,2.58583068848,0.10725686362
0.0012,2.39326477051,-0.0884422126945,2.57820129395,0.0996274690885
0.0013,2.42988586426,-0.0518211189445,2.52792358398,0.0493497591276
0.0014,2.48481750488,0.00311052168047,2.46078491211,-0.0177889127474
0.0015,2.54737854004,0.0656715568367,2.39974975586,-0.0788240689974
0.0016,2.58247375488,0.10076677168,2.36625671387,-0.11231711099
0.0017,2.57637023926,0.0946632560555,2.37838745117,-0.100186373685
0.0018,2.53517150879,0.0534645255867,2.43179321289,-0.0467806119662
0.0019,2.46650695801,-0.0152000251945,2.49893188477,0.0203580599088
0.002,2.41157531738,-0.0701316658195,2.55989074707,0.0813169222135
0.0021,2.38410949707,-0.097597486132,2.5904083252,0.111834500339
0.0022,2.3902130127,-0.091493970507,2.57514953613,0.096575711276
0.0023,2.4405670166,-0.0411399666008,2.52487182617,0.0462980013151
0.0024,2.50312805176,0.0214210685555,2.44552612305,-0.0330477018099
0.0025,2.55500793457,0.073300951368,2.38906860352,-0.0895052213412
0.0026,2.58094787598,0.0992408927742,2.36167907715,-0.116894747708
0.0027,2.57026672363,0.0885597404305,2.38296508789,-0.0956087369662
0.0028,2.51991271973,0.0382057365242,2.44247436523,-0.0360994596224
0.0029,2.45277404785,-0.0289329353508,2.52334594727,0.0447721224088
0.003,2.40089416504,-0.0808128181633,2.57514953613,0.096575711276
0.0031,2.37953186035,-0.102175122851,2.58430480957,0.105730984714
0.0032,2.39631652832,-0.085390454882,2.56294250488,0.084368680026
0.0033,2.44514465332,-0.036562329882,2.50503540039,0.0264615755338
0.0034,2.50770568848,0.0259987052742,2.4333190918,-0.0452547330599
0.0035,2.55653381348,0.0748268302742,2.3754119873,-0.103161837552
0.0036,2.5855255127,0.103818529493,2.37083435059,-0.107739474271
0.0037,2.55500793457,0.073300951368,2.39212036133,-0.0864534635287
0.0038,2.50465393066,0.0229469474617,2.45620727539,-0.0223665494662
0.0039,2.44361877441,-0.0380882087883,2.53707885742,0.0585050325651
0.004,2.39326477051,-0.0884422126945,2.58277893066,0.104205105807
0.0041,2.38410949707,-0.097597486132,2.5904083252,0.111834500339
0.0042,2.40394592285,-0.0777610603508,2.55378723145,0.0752134065885
0.0043,2.46040344238,-0.0213035408195,2.49435424805,0.0157804231901
0.0044,2.52296447754,0.0412574943367,2.42111206055,-0.0574617643099
0.0045,2.56568908691,0.0839821037117,2.3738861084,-0.104687716458
0.0046,2.58399963379,0.102292650587,2.36930847168,-0.109265353177
0.0047,2.54737854004,0.0656715568367,2.40737915039,-0.0711946744662
0.0048,2.49244689941,0.0107399162117,2.4821472168,0.00357339194009
0.0049,2.42683410645,-0.054872876757,2.54928588867,0.0707120638151
0.005,2.38563537598,-0.0960716072258,2.5919342041,0.113360379245
0.0051,2.38410949707,-0.097597486132,2.58888244629,0.110308621432
0.0052,2.4146270752,-0.067079908007,2.54318237305,0.0646085481901
0.0053,2.47566223145,-0.00604475175703,2.47909545898,0.000521634127591
0.0054,2.52601623535,0.0443092521492,2.40737915039,-0.0711946744662
0.0055,2.57179260254,0.0900856193367,2.36320495605,-0.115368868802
0.0056,2.57637023926,0.0946632560555,2.37236022949,-0.106213595365
0.0057,2.54280090332,0.061093920118,2.41806030273,-0.0605135221224
0.0058,2.48176574707,5.87638679681E-05,2.49588012695,0.0173063020963
0.0059,2.41767883301,-0.0640281501945,2.55226135254,0.0736875276823
0.006,2.38105773926,-0.100649243945,2.59346008301,0.114886258151
0.0061,2.38563537598,-0.0960716072258,2.57972717285,0.101153347995
0.0062,2.42225646973,-0.0594505134758,2.5325012207,0.0539273958463
0.0063,2.48329162598,0.00158464277422,2.46841430664,-0.0101595182162
0.0064,2.54127502441,0.0595680412117,2.39974975586,-0.0788240689974
0.0065,2.57942199707,0.097715013868,2.36930847168,-0.109265353177
0.0066,2.57484436035,0.0931373771492,2.37693786621,-0.101635958646
0.0067,2.53059387207,0.048886888868,2.43026733398,-0.0483064908724
0.0068,2.46650695801,-0.0152000251945,2.50198364258,0.0234098177213
0.0069,2.40394592285,-0.0777610603508,2.5659942627,0.0874204378385
0.007,2.38105773926,-0.100649243945,2.60414123535,0.125567410495
0.0071,2.3902130127,-0.091493970507,2.57820129395,0.0996274690885
0.0072,2.4405670166,-0.0411399666008,2.52487182617,0.0462980013151
0.0073,2.49397277832,0.012265795118,2.45315551758,-0.0254183072787
0.0074,2.55348205566,0.0717750724617,2.3860168457,-0.0925569791537
0.0075,2.5855255127,0.103818529493,2.36473083496,-0.113842989896
0.0076,2.57331848145,0.091611498243,2.38906860352,-0.0895052213412
